Term,CRN,Subj,Crse,Title,Campus,Enrollment,%Passing,A,B,C,P,D,F,NP,W,Other,ITV,TV,WEB,CLWEB,TVWEB
F07,41398,MTH,65,Introductory Algebra-2nd Term,3,26,57.70%,3,7,5,0,1,7,0,3,0,0,0,0,0,0
F07,41403,MTH,60,Introductory Algebra- 1st Term,4,35,80.00%,6,15,7,0,1,4,0,1,1,0,0,0,0,0
F07,41411,MTH,65,Introductory Algebra-2nd Term,2,34,76.50%,14,3,9,0,2,1,1,4,0,0,0,0,0,0
F07,41422,MTH,65,Introductory Algebra-2nd Term,2,13,46.20%,2,4,0,0,0,3,0,3,1,0,0,0,0,0
F07,41551,MTH,60,Introductory Algebra- 1st Term,1,32,50.00%,3,6,7,0,6,2,3,5,0,0,0,0,0,0
F07,41552,MTH,60,Introductory Algebra- 1st Term,1,16,43.80%,2,3,2,0,0,2,0,6,1,0,0,0,0,0
F07,41553,MTH,244,Statistics II,1,17,70.60%,1,6,5,0,5,0,0,0,0,0,0,0,0,0
F07,41578,MTH,60,Introductory Algebra- 1st Term,2,38,55.30%,12,7,2,0,8,1,0,8,0,0,0,0,0,0
F07,41579,MTH,60,Introductory Algebra- 1st Term,2,38,60.50%,14,7,2,0,5,3,1,5,1,0,0,0,0,0
F07,41580,MTH,95,Intermediate Algebra,2,37,40.50%,8,3,3,1,3,9,5,5,0,0,0,0,0,0
F07,41599,MTH,65,Introductory Algebra-2nd Term,3,25,84.00%,5,11,5,0,0,3,0,1,0,0,0,0,0,0
F07,41616,MTH,243,Statistics I,3,30,63.30%,11,2,6,0,1,8,0,2,0,0,0,0,0,0
F07,41660,MTH,65,Introductory Algebra-2nd Term,1,21,71.40%,4,5,6,0,0,1,1,3,1,0,0,0,0,0
F07,41661,MTH,70,Review of Intro Algebra,3,32,87.50%,8,14,6,0,2,0,0,2,0,0,0,0,0,0
F07,41662,MTH,70,Review of Intro Algebra,3,18,55.60%,4,3,3,0,4,2,0,2,0,0,0,0,0,0
F07,41663,MTH,95,Intermediate Algebra,3,22,54.50%,2,5,5,0,6,2,0,2,0,0,0,0,0,0
F07,41675,MTH,60,Introductory Algebra- 1st Term,3,38,81.60%,6,14,11,0,3,3,0,1,0,0,0,0,0,0
F07,41679,MTH,60,Introductory Algebra- 1st Term,2,33,63.60%,6,6,9,0,9,0,0,3,0,0,0,0,0,0
F07,41684,MTH,95,Intermediate Algebra,3,25,68.00%,12,1,4,0,2,1,0,4,1,0,0,0,0,0
F07,41700,MTH,60,Introductory Algebra- 1st Term,1,33,63.60%,6,8,7,0,0,1,0,8,3,0,0,0,0,0
F07,41754,MTH,70,Review of Intro Algebra,1,33,24.20%,2,3,3,0,5,0,0,5,15,0,0,1,0,0
F07,41757,MTH,243,Statistics I,2,21,95.20%,15,4,1,0,1,0,0,0,0,0,0,0,0,0
F07,41758,MTH,251,Calculus I,2,30,80.00%,9,11,4,0,1,2,1,1,1,0,0,0,0,0
F07,41768,MTH,95,Intermediate Algebra,3,19,52.60%,5,3,2,0,1,6,0,2,0,0,0,0,0,0
F07,41769,MTH,60,Introductory Algebra- 1st Term,3,31,64.50%,11,5,4,0,1,4,0,6,0,0,0,0,0,0
F07,41770,MTH,111C,"Col Alg for Math,Science,Engin",3,16,50.00%,4,2,2,0,0,2,0,4,2,0,0,0,0,0
F07,41771,MTH,252,Calculus II,3,14,57.10%,2,4,2,0,1,3,0,0,2,0,0,0,0,0
F07,41802,MTH,65,Introductory Algebra-2nd Term,4,17,82.40%,6,6,2,0,1,2,0,0,0,0,0,0,0,0
F07,41810,MTH,244,Statistics II,1,30,56.70%,6,7,4,0,1,0,1,8,3,0,0,1,0,0
F07,41880,MTH,15,Conquering Math Anxiety,2,23,100.00%,0,0,0,23,0,0,0,0,0,0,0,0,0,0
F07,41919,MTH,60,Introductory Algebra- 1st Term,1,32,71.90%,8,10,4,1,1,2,0,6,0,0,0,0,0,0
F07,41920,MTH,60,Introductory Algebra- 1st Term,1,33,48.50%,7,5,4,0,3,7,2,4,1,0,0,0,0,0
F07,41921,MTH,111B,"Col Alg-Bus,Mgmt,Life, Soc Sci",1,35,48.60%,7,6,2,2,0,0,2,2,14,0,0,0,0,0
F07,41922,MTH,111C,"Col Alg for Math,Science,Engin",1,30,70.00%,12,4,5,0,1,6,0,2,0,0,0,0,0,0
F07,41923,MTH,243,Statistics I,1,17,41.20%,6,0,1,0,2,2,0,3,3,0,0,1,0,0
F07,42012,MTH,61,Introductory Algebra-Part I,2,29,75.90%,12,7,3,0,0,0,0,4,3,0,0,0,0,0
F07,42013,MTH,244,Statistics II,2,20,90.00%,10,5,3,0,1,0,1,0,0,0,0,0,0,0
F07,42014,MTH,211,Foundations of Elem Math I,2,34,97.10%,21,10,2,0,0,0,0,1,0,0,0,0,0,0
F07,42045,MTH,10B,Fundamentals of Arithmetic I,3,14,57.10%,2,5,1,0,0,2,0,4,0,0,0,0,0,0
F07,42049,MTH,60,Introductory Algebra- 1st Term,3,27,70.40%,9,6,4,0,2,2,0,4,0,0,0,0,0,0
F07,42050,MTH,60,Introductory Algebra- 1st Term,3,25,56.00%,4,4,6,0,3,7,0,1,0,0,0,0,0,0
F07,42051,MTH,65,Introductory Algebra-2nd Term,3,16,62.50%,5,4,1,0,2,3,0,1,0,0,0,0,0,0
F07,42052,MTH,65,Introductory Algebra-2nd Term,3,24,66.70%,3,3,10,0,2,1,0,5,0,0,0,0,0,0
F07,42053,MTH,65,Introductory Algebra-2nd Term,3,20,90.00%,7,5,6,0,1,0,0,1,0,0,0,0,0,0
F07,42055,MTH,95,Intermediate Algebra,3,16,62.50%,5,1,4,0,1,0,0,5,0,0,0,0,0,0
F07,42056,MTH,95,Intermediate Algebra,3,29,82.80%,6,10,8,0,3,2,0,0,0,0,0,0,0,0
F07,42059,MTH,111A,College Algebra/Liberal Arts,3,25,84.00%,13,4,4,0,1,0,0,3,0,0,0,0,0,0
F07,42060,MTH,111B,"Col Alg-Bus,Mgmt,Life, Soc Sci",3,20,40.00%,1,3,4,0,5,5,1,1,0,0,0,0,0,0
F07,42061,MTH,111B,"Col Alg-Bus,Mgmt,Life, Soc Sci",3,16,50.00%,1,3,4,0,3,2,0,3,0,0,0,0,0,0
F07,42062,MTH,111B,"Col Alg-Bus,Mgmt,Life, Soc Sci",3,18,55.60%,2,6,2,0,2,1,1,3,1,0,0,0,0,0
F07,42063,MTH,231,Elements of Discrete Mth I,3,24,87.50%,11,8,2,0,1,0,1,0,1,0,0,0,0,0
